word,rule_based,correct
अख़्तर,⠁⠨⠐⠈⠞⠗,⠁⠈⠐⠨⠞⠗
शख़्स,⠩⠨⠐⠈⠎,⠩⠈⠐⠨⠎
ख़ुश्क,⠨⠐⠥⠩⠈⠅,⠐⠨⠥⠈⠩⠅
बख़्शिश,⠃⠨⠐⠈⠩⠊⠩,⠃⠈⠐⠨⠩⠊⠩
दस्तख़त,⠙⠎⠈⠞⠨⠐⠞,⠙⠈⠎⠞⠐⠨⠞
बदबख़्त,⠃⠙⠃⠨⠐⠈⠞,⠃⠙⠃⠈⠐⠨⠞
ज़ख़्म,⠚⠐⠨⠐⠈⠍,⠐⠚⠈⠐⠨⠍
ग़ुस्सा,⠛⠐⠥⠎⠈⠎⠜,⠐⠛⠥⠈⠎⠎⠜
मग़्ज़,⠍⠛⠐⠈⠚⠐,⠍⠈⠐⠛⠐⠚
ग़र्क़,⠛⠐⠗⠈⠅⠐,⠐⠛⠈⠗⠐⠅
ज़बरदस्त,⠚⠐⠃⠗⠙⠎⠈⠞,⠐⠚⠃⠗⠙⠈⠎⠞
जज़्बा,⠚⠚⠐⠈⠃⠜,⠚⠈⠐⠚⠃⠜
फ़र्ज़,⠋⠐⠗⠈⠚⠐,⠐⠋⠈⠗⠐⠚
मर्ज़,⠍⠗⠈⠚⠐,⠍⠈⠗⠐⠚
अर्ज़ी,⠁⠗⠈⠚⠐⠔,⠁⠈⠗⠐⠚⠔
तर्ज़,⠞⠗⠈⠚⠐,⠞⠈⠗⠐⠚
कब्ज़ा,⠅⠃⠈⠚⠐⠜,⠅⠈⠃⠐⠚⠜
इज़्ज़त,⠊⠚⠐⠈⠚⠐⠞,⠊⠈⠐⠚⠐⠚⠞
लज़्ज़त,⠇⠚⠐⠈⠚⠐⠞,⠇⠈⠐⠚⠐⠚⠞
नज़्म,⠝⠚⠐⠈⠍,⠝⠈⠐⠚⠍
नज़दीक,⠝⠚⠐⠙⠔⠅,⠝⠐⠚⠙⠔⠅
इंतज़ाम,⠊⠰⠞⠚⠐⠜⠍,⠊⠰⠞⠐⠚⠜⠍
मुन्तज़िर,⠍⠥⠝⠈⠞⠚⠐⠊⠗,⠍⠥⠈⠝⠞⠐⠚⠊⠗
रफ़्तार,⠗⠋⠐⠈⠞⠜⠗,⠗⠈⠐⠋⠞⠜⠗
लफ़्ज़,⠇⠋⠐⠈⠚⠐,⠇⠈⠐⠋⠐⠚
दफ़्तर,⠙⠋⠐⠈⠞⠗,⠙⠈⠐⠋⠞⠗
चुनरइया,⠉⠥⠝⠗⠊⠽⠜,⠉⠥⠝⠗⠁⠊⠽⠜
नथुनइया,⠝⠹⠥⠝⠊⠽⠜,⠝⠹⠥⠝⠁⠊⠽⠜
लठइया,⠇⠺⠊⠽⠜,⠇⠺⠁⠊⠽⠜
मोटइया,⠍⠕⠾⠊⠽⠜,⠍⠕⠾⠁⠊⠽⠜
पोटरइया,⠏⠕⠾⠗⠊⠽⠜,⠏⠕⠾⠗⠁⠊⠽⠜
डोरइया,⠫⠕⠗⠊⠽⠜,⠫⠕⠗⠁⠊⠽⠜
बँसइया,⠃⠄⠎⠊⠽⠜,⠃⠄⠎⠁⠊⠽⠜
धुलइया,⠮⠥⠇⠊⠽⠜,⠮⠥⠇⠁⠊⠽⠜
घिसइया,⠣⠊⠎⠊⠽⠜,⠣⠊⠎⠁⠊⠽⠜
मिलए,⠍⠊⠇⠑,⠍⠊⠇⠁⠑
खिलए,⠨⠊⠇⠑,⠨⠊⠇⠁⠑
मिलइ,⠍⠊⠇⠊,⠍⠊⠇⠁⠊
कटइ,⠅⠾⠊,⠅⠾⠁⠊
खई,⠨⠔,⠨⠁⠔
दई,⠙⠔,⠙⠁⠔
खेतजोतइया,⠨⠑⠞⠚⠕⠞⠊⠽⠜,⠨⠑⠞⠚⠕⠞⠁⠊⠽⠜
माखनचोरइया,⠍⠜⠨⠝⠉⠕⠗⠊⠽⠜,⠍⠜⠨⠝⠉⠕⠗⠁⠊⠽⠜
घरबसवइया,⠣⠗⠃⠎⠧⠊⠽⠜,⠣⠗⠃⠎⠧⠁⠊⠽⠜
बोझउठइया,⠃⠕⠴⠥⠺⠊⠽⠜,⠃⠕⠴⠁⠥⠺⠁⠊⠽⠜
गुनगुनइया,⠛⠥⠝⠛⠥⠝⠊⠽⠜,⠛⠥⠝⠛⠥⠝⠁⠊⠽⠜
अँगनइया,⠁⠄⠛⠝⠊⠽⠜,⠁⠄⠛⠝⠁⠊⠽⠜
लड़खड़ाए,⠇⠻⠨⠻⠜⠑,⠇⠻⠨⠻⠜⠑
बड़बड़ाए,⠃⠻⠃⠻⠜⠑,⠃⠻⠃⠻⠜⠑
इतराए,⠊⠞⠗⠜⠑,⠊⠞⠗⠜⠑
रईस,⠗⠔⠎,⠗⠁⠔⠎
सईस,⠎⠔⠎,⠎⠁⠔⠎
शऊर,⠩⠳⠗,⠩⠁⠳⠗
चिड़इयाघर,⠉⠊⠻⠊⠽⠜⠣⠗,⠉⠊⠻⠁⠊⠽⠜⠣⠗
रुपइया-पैसा,⠗⠥⠏⠊⠽⠜⠤⠏⠌⠎⠜,⠗⠥⠏⠁⠊⠽⠜⠤⠏⠌⠎⠜
खटइया-बुनाई,⠨⠾⠊⠽⠜⠤⠃⠥⠝⠜⠔,⠨⠾⠁⠊⠽⠜⠤⠃⠥⠝⠜⠔
मऊनाथभंजन,⠍⠳⠝⠜⠹⠘⠰⠚⠝,⠍⠁⠳⠝⠜⠹⠘⠰⠚⠝
मऊगंज,⠍⠳⠛⠰⠚,⠍⠁⠳⠛⠰⠚
रुपइयावाला,⠗⠥⠏⠊⠽⠜⠧⠜⠇⠜,⠗⠥⠏⠁⠊⠽⠜⠧⠜⠇⠜
पुरवइया-गीत,⠏⠥⠗⠧⠊⠽⠜⠤⠛⠔⠞,⠏⠥⠗⠧⠁⠊⠽⠜⠤⠛⠔⠞
कई-एक,⠅⠔⠤⠑⠅,⠅⠁⠔⠤⠑⠅
मऊ-आइमा,⠍⠳⠤⠜⠊⠍⠜,⠍⠁⠳⠤⠜⠊⠍⠜
सईसखाना,⠎⠔⠎⠨⠜⠝⠜,⠎⠁⠔⠎⠨⠜⠝⠜
चिड़इयामार,⠉⠊⠻⠊⠽⠜⠍⠜⠗,⠉⠊⠻⠁⠊⠽⠜⠍⠜⠗
खटइयावाला,⠨⠾⠊⠽⠜⠧⠜⠇⠜,⠨⠾⠁⠊⠽⠜⠧⠜⠇⠜
रईसियत,⠗⠔⠎⠊⠽⠞,⠗⠁⠔⠎⠊⠽⠞
नईमा,⠝⠔⠍⠜,⠝⠁⠔⠍⠜
रऊफ,⠗⠳⠋,⠗⠁⠳⠋
चउका,⠉⠥⠅⠜,⠉⠁⠥⠅⠜
चउसर,⠉⠥⠎⠗,⠉⠁⠥⠎⠗
चउपाल,⠉⠥⠏⠜⠇,⠉⠁⠥⠏⠜⠇
जउहरी,⠚⠥⠓⠗⠔,⠚⠁⠥⠓⠗⠔
बिटइया-पर्व,⠃⠊⠾⠊⠽⠜⠤⠏⠗⠈⠧,⠃⠊⠾⠁⠊⠽⠜⠤⠏⠈⠗⠧
जगरखवइया-नाथ,⠚⠛⠗⠨⠧⠊⠽⠜⠤⠝⠜⠹,⠚⠛⠗⠨⠧⠁⠊⠽⠜⠤⠝⠜⠹
रईसपन,⠗⠔⠎⠏⠝,⠗⠁⠔⠎⠏⠝
शऊरमंद,⠩⠳⠗⠍⠰⠙,⠩⠁⠳⠗⠍⠰⠙
चउँरवाला,⠉⠥⠄⠗⠧⠜⠇⠜,⠉⠁⠥⠄⠗⠧⠜⠇⠜
पउनावाला,⠏⠥⠝⠜⠧⠜⠇⠜,⠏⠁⠥⠝⠜⠧⠜⠇⠜
सईसगिरी,⠎⠔⠎⠛⠊⠗⠔,⠎⠁⠔⠎⠛⠊⠗⠔
गवइयापन,⠛⠧⠊⠽⠜⠏⠝,⠛⠧⠁⠊⠽⠜⠏⠝
पढ़इयागिरी,⠏⠐⠻⠊⠽⠜⠛⠊⠗⠔,⠏⠐⠻⠁⠊⠽⠜⠛⠊⠗⠔
नचइया-मंडली,⠝⠉⠊⠽⠜⠤⠍⠰⠫⠇⠔,⠝⠉⠁⠊⠽⠜⠤⠍⠰⠫⠇⠔
भउजाई,⠘⠥⠚⠜⠔,⠘⠁⠥⠚⠜⠔
धउरहरा,⠮⠥⠗⠓⠗⠜,⠮⠁⠥⠗⠓⠗⠜
गइया,⠛⠊⠽⠜,⠛⠁⠊⠽⠜
कई-मंज़िला,⠅⠔⠤⠍⠰⠚⠐⠊⠇⠜,⠅⠁⠔⠤⠍⠰⠐⠚⠊⠇⠜
शऊर-सलीका,⠩⠳⠗⠤⠎⠇⠔⠅⠜,⠩⠁⠳⠗⠤⠎⠇⠔⠅⠜
लठइया-मार,⠇⠺⠊⠽⠜⠤⠍⠜⠗,⠇⠺⠁⠊⠽⠜⠤⠍⠜⠗
नथुनइया-घाटी,⠝⠹⠥⠝⠊⠽⠜⠤⠣⠜⠾⠔,⠝⠹⠥⠝⠁⠊⠽⠜⠤⠣⠜⠾⠔
कइली,⠅⠊⠇⠔,⠅⠁⠊⠇⠔
कछउटा,⠅⠡⠥⠾⠜,⠅⠡⠁⠥⠾⠜
कठउत,⠅⠺⠥⠞,⠅⠺⠁⠥⠞
भिनउज,⠘⠊⠝⠥⠚,⠘⠊⠝⠁⠥⠚
धउंकनी,⠮⠥⠰⠅⠝⠔,⠮⠁⠥⠰⠅⠝⠔
खपड़इल,⠨⠏⠻⠊⠇,⠨⠏⠻⠁⠊⠇
रईसियत,⠗⠔⠎⠊⠽⠞,⠗⠁⠔⠎⠊⠽⠞
बइठका,⠃⠊⠺⠅⠜,⠃⠁⠊⠺⠅⠜
कइसन,⠅⠊⠎⠝,⠅⠁⠊⠎⠝
नुनइया,⠝⠥⠝⠊⠽⠜,⠝⠥⠝⠁⠊⠽⠜
बिलबिलाए,⠃⠊⠇⠃⠊⠇⠜⠑,⠃⠊⠇⠃⠊⠇⠜⠑
टिलमिलाए,⠾⠊⠇⠍⠊⠇⠜⠑,⠾⠊⠇⠍⠊⠇⠜⠑
खटपटाए,⠨⠾⠏⠾⠜⠑,⠨⠾⠏⠾⠜⠑
लड़खड़ाइ,⠇⠻⠨⠻⠜⠊,⠇⠻⠨⠻⠜⠊
अकुलाइ,⠁⠅⠥⠇⠜⠊,⠁⠅⠥⠇⠜⠊
थइली,⠹⠊⠇⠔,⠹⠁⠊⠇⠔
मइदा,⠍⠊⠙⠜,⠍⠁⠊⠙⠜
गुर्राइ,⠛⠥⠗⠈⠗⠜⠊,⠛⠥⠈⠗⠗⠜⠊
सकुचाइ,⠎⠅⠥⠉⠜⠊,⠎⠅⠥⠉⠜⠊
प्रक्रिया,⠏⠈⠗⠅⠈⠗⠊⠽⠜,⠈⠏⠗⠈⠅⠗⠊⠽⠜
अजन्मे,⠁⠚⠝⠈⠍⠑,⠁⠚⠈⠝⠍⠑
पंक्तियों,⠏⠰⠅⠈⠞⠊⠽⠕⠰,⠏⠰⠈⠅⠞⠊⠽⠕⠰
दीन्हे,⠙⠔⠝⠈⠓⠑,⠙⠔⠈⠝⠓⠑
रहाउ,⠗⠓⠜⠥,⠗⠓⠜⠥
सुक्रितु,⠎⠥⠅⠈⠗⠊⠞⠥,⠎⠥⠈⠅⠗⠊⠞⠥
अफ़ग़ानिस्तान,⠁⠋⠐⠛⠐⠜⠝⠊⠎⠈⠞⠜⠝,⠁⠐⠋⠐⠛⠜⠝⠊⠈⠎⠞⠜⠝
ऑस्ट्रेलिया,⠭⠎⠈⠾⠈⠗⠑⠇⠊⠽⠜,⠭⠈⠎⠈⠾⠗⠑⠇⠊⠽⠜
इंतक़ाम,⠊⠰⠞⠅⠐⠜⠍,⠊⠰⠞⠐⠅⠜⠍
इंक़लाब,⠊⠰⠅⠐⠇⠜⠃,⠊⠰⠐⠅⠇⠜⠃
इस्तेमाल,⠊⠎⠈⠞⠑⠍⠜⠇,⠊⠈⠎⠞⠑⠍⠜⠇
इत्मीनान,⠊⠞⠈⠍⠔⠝⠜⠝,⠊⠈⠞⠍⠔⠝⠜⠝
अफ़सर,⠁⠋⠐⠎⠗,⠁⠐⠋⠎⠗
उम्मीदवार,⠥⠍⠈⠍⠔⠙⠧⠜⠗,⠥⠈⠍⠍⠔⠙⠧⠜⠗
पउआ,⠏⠥⠜,⠏⠁⠥⠜
रउआ,⠗⠥⠜,⠗⠁⠥⠜
दिखाऊ,⠙⠊⠨⠜⠳,⠙⠊⠨⠜⠳
बिकाऊ,⠃⠊⠅⠜⠳,⠃⠊⠅⠜⠳
सुई,⠎⠥⠔,⠎⠥⠔
रुई,⠗⠥⠔,⠗⠥⠔
हुई,⠓⠥⠔,⠓⠥⠔
खाइए,⠨⠜⠊⠑,⠨⠜⠊⠑
रईस-कबीला,⠗⠔⠎⠤⠅⠃⠔⠇⠜,⠗⠁⠔⠎⠤⠅⠃⠔⠇⠜
दउलतमंद,⠙⠥⠇⠞⠍⠰⠙,⠙⠁⠥⠇⠞⠍⠰⠙
भउजी-केरा,⠘⠥⠚⠔⠤⠅⠑⠗⠜,⠘⠁⠥⠚⠔⠤⠅⠑⠗⠜
अईयाश,⠁⠔⠽⠜⠩,⠁⠔⠽⠜⠩
चउरासी,⠉⠥⠗⠜⠎⠔,⠉⠁⠥⠗⠜⠎⠔
कइली,⠅⠊⠇⠔,⠅⠁⠊⠇⠔
अउतार,⠁⠥⠞⠜⠗,⠁⠥⠞⠜⠗
सत्य,⠎⠞⠈⠽,⠎⠈⠞⠽
सच्चाई,⠎⠉⠈⠉⠜⠔,⠎⠈⠉⠉⠜⠔
पक्का,⠏⠅⠈⠅⠜,⠏⠈⠅⠅⠜
बच्चा,⠃⠉⠈⠉⠜,⠃⠈⠉⠉⠜
प्यार,⠏⠈⠽⠜⠗,⠈⠏⠽⠜⠗
स्वस्थ,⠎⠈⠧⠎⠈⠹,⠈⠎⠧⠈⠎⠹
पुस्तक,⠏⠥⠎⠈⠞⠅,⠏⠥⠈⠎⠞⠅
मक्खन,⠍⠅⠈⠨⠝,⠍⠈⠅⠨⠝
चप्पल,⠉⠏⠈⠏⠇,⠉⠈⠏⠏⠇
डिब्बा,⠫⠊⠃⠈⠃⠜,⠫⠊⠈⠃⠃⠜
लड्डू,⠇⠫⠈⠫⠳,⠇⠈⠫⠫⠳
ग्यारह,⠛⠈⠽⠜⠗⠓,⠈⠛⠽⠜⠗⠓
ब्राह्मण,⠃⠈⠗⠜⠓⠈⠍⠼,⠈⠃⠗⠜⠈⠓⠍⠼
डॉक्टर,⠫⠭⠅⠈⠾⠗,⠫⠭⠈⠅⠾⠗
पत्ता,⠏⠞⠈⠞⠜,⠏⠈⠞⠞⠜
अध्यक्ष,⠁⠮⠈⠽⠟,⠁⠈⠮⠽⠟
अध्यात्म,⠁⠮⠈⠽⠜⠞⠈⠍,⠁⠈⠮⠽⠜⠈⠞⠍
इस्लाम,⠊⠎⠈⠇⠜⠍,⠊⠈⠎⠇⠜⠍
उत्पन्न,⠥⠞⠈⠏⠝⠈⠝,⠥⠈⠞⠏⠈⠝⠝
उल्लंघन,⠥⠇⠈⠇⠰⠣⠝,⠥⠈⠇⠇⠰⠣⠝
एक्स्ट्रा,⠑⠅⠈⠎⠈⠾⠈⠗⠜,⠑⠈⠅⠈⠎⠈⠾⠗⠜
आश्चर्य,⠜⠩⠈⠉⠗⠈⠽,⠜⠈⠩⠉⠈⠗⠽
इच्छुक,⠊⠉⠈⠡⠥⠅,⠊⠈⠉⠡⠥⠅
अस्तित्व,⠁⠎⠈⠞⠊⠞⠈⠧,⠁⠈⠎⠞⠊⠈⠞⠧
किस्मत,⠅⠊⠎⠈⠍⠞,⠅⠊⠈⠎⠍⠞
तख्ता,⠞⠨⠈⠞⠜,⠞⠈⠨⠞⠜
ज़ुल्म,⠚⠐⠥⠇⠈⠍,⠐⠚⠥⠈⠇⠍
ख़ुफ़िया,⠨⠐⠥⠋⠐⠊⠽⠜,⠐⠨⠥⠐⠋⠊⠽⠜
रफ़्ता-रफ़्ता,⠗⠋⠐⠈⠞⠜⠤⠗⠋⠐⠈⠞⠜,⠗⠈⠐⠋⠞⠜⠤⠗⠈⠐⠋⠞⠜
मुज़फ़्फ़रनगर,⠍⠥⠚⠐⠋⠐⠈⠋⠐⠗⠝⠛⠗,⠍⠥⠐⠚⠈⠐⠋⠐⠋⠗⠝⠛⠗
शख़्सियत,⠩⠨⠐⠈⠎⠊⠽⠞,⠩⠈⠐⠨⠎⠊⠽⠞
भइया-दूज,⠘⠊⠽⠜⠤⠙⠳⠚,⠘⠁⠊⠽⠜⠤⠙⠳⠚
दउलत-शोहरत,⠙⠥⠇⠞⠤⠩⠕⠓⠗⠞,⠙⠁⠥⠇⠞⠤⠩⠕⠓⠗⠞
चउपाई,⠉⠥⠏⠜⠔,⠉⠁⠥⠏⠜⠔
करवाइए,⠅⠗⠧⠜⠊⠑,⠅⠗⠧⠜⠊⠑
अउरत,⠁⠥⠗⠞,⠁⠥⠗⠞
इत्तफ़ाकइ,⠊⠞⠈⠞⠐⠋⠜⠅⠊,⠊⠈⠞⠞⠐⠋⠜⠅⠁⠊
फ़ाइल,⠋⠐⠜⠊⠇,⠐⠋⠜⠊⠇
लाइब्रेरी,⠇⠜⠊⠃⠈⠗⠑⠗⠔,⠇⠜⠊⠈⠃⠗⠑⠗⠔
टाइम्स,⠾⠜⠊⠍⠈⠎,⠾⠜⠊⠈⠍⠎
डिज़ाइन,⠫⠊⠚⠐⠜⠊⠝,⠫⠊⠐⠚⠜⠊⠝
इत्तफ़ाकइ,⠊⠞⠈⠞⠐⠋⠜⠅⠊,⠊⠈⠞⠞⠐⠋⠜⠅⠁⠊
समस्याएं,⠎⠍⠎⠈⠽⠜⠑⠰,⠎⠍⠈⠎⠽⠜⠑⠰
वस्तुएं,⠧⠎⠈⠞⠥⠑⠰,⠧⠈⠎⠞⠥⠑⠰
ड्राइव,⠫⠈⠗⠜⠊⠧,⠈⠫⠗⠜⠊⠧
बम्बई,⠃⠍⠈⠃⠔,⠃⠈⠍⠃⠁⠔
दमइय्या,⠙⠍⠊⠽⠈⠽⠜,⠙⠍⠁⠊⠈⠽⠽⠜
चेन्नई,⠉⠑⠝⠈⠝⠔,⠉⠑⠈⠝⠝⠁⠔
सनराइज़,⠎⠝⠗⠜⠊⠐⠚,⠎⠝⠗⠜⠊⠐⠚
गई-गुज़री,⠛⠔⠤⠛⠥⠚⠐⠗⠔,⠛⠁⠔⠤⠛⠥⠐⠚⠗⠔
रईसज़ादा,⠗⠔⠎⠚⠐⠜⠙⠜,⠗⠁⠔⠎⠐⠚⠜⠙⠜
चिट्ठिरसइया,⠉⠊⠾⠈⠺⠊⠗⠎⠊⠽⠜,⠉⠊⠈⠾⠺⠊⠗⠎⠁⠊⠽⠜
चुनरइया-डिज़ाइन,⠉⠥⠝⠗⠊⠽⠜⠤⠫⠊⠚⠐⠜⠊⠝,⠉⠥⠝⠗⠁⠊⠽⠜⠤⠫⠊⠐⠚⠜⠊⠝
शऊर-परस्ती,⠩⠳⠗⠤⠏⠗⠎⠈⠞⠔,⠩⠁⠳⠗⠤⠏⠗⠈⠎⠞⠔
चउका-चूल्हा,⠉⠥⠅⠜⠤⠉⠳⠇⠈⠓⠜,⠉⠁⠥⠅⠜⠤⠉⠳⠈⠇⠓⠜
आइसक्रीम,⠜⠊⠎⠅⠈⠗⠔⠍,⠜⠊⠎⠈⠅⠗⠔⠍
शऊर-ए-महफ़िल,⠩⠳⠗⠤⠑⠤⠍⠓⠋⠐⠊⠇,⠩⠁⠳⠗⠤⠑⠤⠍⠓⠐⠋⠊⠇
कई-अध्याय,⠅⠔⠤⠁⠮⠈⠽⠜⠽,⠅⠁⠔⠤⠁⠈⠮⠽⠜⠽
भउंचक्का,⠘⠥⠰⠉⠅⠈⠅⠜,⠘⠁⠥⠰⠉⠈⠅⠅⠜
नुक़सान,⠝⠥⠅⠐⠎⠜⠝,⠝⠥⠐⠅⠎⠜⠝
ज़िन्दगी,⠚⠐⠊⠝⠈⠙⠛⠔,⠐⠚⠊⠈⠝⠙⠛⠔
ताक़तवर,⠞⠜⠅⠐⠞⠧⠗,⠞⠜⠐⠅⠞⠧⠗
क़ाबिलियत,⠅⠐⠜⠃⠊⠇⠊⠽⠞,⠐⠅⠜⠃⠊⠇⠊⠽⠞
इल्ज़ाम,⠊⠇⠈⠚⠐⠜⠍,⠊⠈⠇⠐⠚⠜⠍
फ़र्ज़ी,⠋⠐⠗⠈⠚⠐⠔,⠐⠋⠈⠗⠐⠚⠔
अंदाज़ा,⠁⠰⠙⠜⠚⠐⠜,⠁⠰⠙⠜⠐⠚⠜
दउरी,⠙⠥⠗⠔,⠙⠁⠥⠗⠔
भइया-गिरी,⠘⠊⠽⠜⠤⠛⠊⠗⠔,⠘⠁⠊⠽⠜⠤⠛⠊⠗⠔
चउराहा-पुलिस,⠉⠥⠗⠜⠓⠜⠤⠏⠥⠇⠊⠎,⠉⠁⠥⠗⠜⠓⠜⠤⠏⠥⠇⠊⠎
दउड़-भाग,⠙⠥⠻⠤⠘⠜⠛,⠙⠁⠥⠻⠤⠘⠜⠛
मइया-दुलार,⠍⠊⠽⠜⠤⠙⠥⠇⠜⠗,⠍⠁⠊⠽⠜⠤⠙⠥⠇⠜⠗
फ़ाइनल,⠋⠐⠜⠊⠝⠇,⠐⠋⠜⠊⠝⠇
कई-फीट,⠅⠔⠤⠋⠔⠾,⠅⠁⠔⠤⠋⠔⠾
सर्टिफ़िकेट,⠎⠗⠈⠾⠊⠋⠐⠊⠅⠑⠾,⠎⠈⠗⠾⠊⠐⠋⠊⠅⠑⠾
कुर्बानी,⠅⠥⠗⠈⠃⠜⠝⠔,⠅⠥⠈⠗⠃⠜⠝⠔
अफ़सोस,⠁⠋⠐⠎⠕⠎,⠁⠐⠋⠎⠕⠎
तन्दुरुस्त,⠞⠝⠈⠙⠥⠗⠥⠎⠈⠞,⠞⠈⠝⠙⠥⠗⠥⠈⠎⠞
गुब्बारा,⠛⠥⠃⠈⠃⠜⠗⠜,⠛⠥⠈⠃⠃⠜⠗⠜
धर्म,⠮⠗⠈⠍,⠮⠈⠗⠍
इजाज़त,⠊⠚⠜⠚⠐⠞,⠊⠚⠜⠐⠚⠞
फ़कीर,⠋⠐⠅⠔⠗,⠐⠋⠅⠔⠗
चउगुना,⠉⠥⠛⠥⠝⠜,⠉⠁⠥⠛⠥⠝⠜
भइया-भतीजावाद,⠘⠊⠽⠜⠤⠘⠞⠔⠚⠜⠧⠜⠙,⠘⠁⠊⠽⠜⠤⠘⠞⠔⠚⠜⠧⠜⠙
मइके,⠍⠊⠅⠑,⠍⠁⠊⠅⠑
सइर,⠎⠊⠗,⠎⠁⠊⠗
रईस-संस्कृति,⠗⠔⠎⠤⠎⠰⠎⠈⠅⠗⠐⠞⠊,⠗⠁⠔⠎⠤⠎⠰⠈⠎⠅⠐⠗⠞⠊
भउजी-सनेह,⠘⠥⠚⠔⠤⠎⠝⠑⠓,⠘⠁⠥⠚⠔⠤⠎⠝⠑⠓
छुट्टी,⠡⠥⠾⠈⠾⠔,⠡⠥⠈⠾⠾⠔
इच्छाओं,⠊⠉⠈⠡⠜⠕⠰,⠊⠈⠉⠡⠜⠕⠰
रोज़,⠗⠕⠚⠐,⠗⠕⠐⠚
इच्छाओं,⠊⠉⠈⠡⠜⠕⠰,⠊⠈⠉⠡⠜⠕⠰
तनावपूर्ण,⠞⠝⠜⠧⠏⠳⠗⠈⠼,⠞⠝⠜⠧⠏⠳⠈⠗⠼
व्यस्त,⠧⠈⠽⠎⠈⠞,⠈⠧⠽⠈⠎⠞
रिश्तों,⠗⠊⠩⠈⠞⠕⠰,⠗⠊⠈⠩⠞⠕⠰
व्यक्ति,⠧⠈⠽⠅⠈⠞⠊,⠈⠧⠽⠈⠅⠞⠊
गर्मी,⠛⠗⠈⠍⠔,⠛⠈⠗⠍⠔
कार्यक्रम,⠅⠜⠗⠈⠽⠅⠈⠗⠍,⠅⠜⠈⠗⠽⠈⠅⠗⠍
बल्कि,⠃⠇⠈⠅⠊,⠃⠈⠇⠅⠊
ट्यूशन,⠾⠈⠽⠳⠩⠝,⠈⠾⠽⠳⠩⠝
उत्तर,⠥⠞⠈⠞⠗,⠥⠈⠞⠞⠗
विक्टोरिया,⠧⠊⠅⠈⠾⠕⠗⠊⠽⠜,⠧⠊⠈⠅⠾⠕⠗⠊⠽⠜
सब्जियां,⠎⠃⠈⠚⠊⠽⠜⠰,⠎⠈⠃⠚⠊⠽⠜⠰
मज़ा,⠍⠚⠐⠜,⠍⠐⠚⠜
अच्छा,⠁⠉⠈⠡⠜,⠁⠈⠉⠡⠜
अत्यन्त,⠁⠞⠈⠽⠝⠈⠞,⠁⠈⠞⠽⠈⠝⠞
अपूर्व,⠁⠏⠳⠗⠈⠧,⠁⠏⠳⠈⠗⠧
अफ्रीका,⠁⠋⠈⠗⠔⠅⠜,⠁⠈⠋⠗⠔⠅⠜
अर्थव्यवस्था,⠁⠗⠈⠹⠧⠈⠽⠧⠎⠈⠹⠜,⠁⠈⠗⠹⠈⠧⠽⠧⠈⠎⠹⠜
आउटडोर,⠜⠥⠾⠫⠕⠗,⠜⠥⠾⠫⠕⠗
आए,⠜⠑,⠜⠑
आपदाओं,⠜⠏⠙⠜⠕⠰,⠜⠏⠙⠜⠕⠰
आरक्षित,⠜⠗⠟⠊⠞,⠜⠗⠟⠊⠞
आवश्यक,⠜⠧⠩⠈⠽⠅,⠜⠧⠈⠩⠽⠅
इंटरनेट,⠊⠰⠾⠗⠝⠑⠾,⠊⠰⠾⠗⠝⠑⠾
इंसान,⠊⠰⠎⠜⠝,⠊⠰⠎⠜⠝
इटली,⠊⠾⠇⠔,⠊⠾⠇⠔
इण्टर,⠊⠼⠈⠾⠗,⠊⠈⠼⠾⠗
इतनी,⠊⠞⠝⠔,⠊⠞⠝⠔
इतने,⠊⠞⠝⠑,⠊⠞⠝⠑
इधर,⠊⠮⠗,⠊⠮⠗
इधर-उधर,⠊⠮⠗⠤⠥⠮⠗,⠊⠮⠗⠤⠥⠮⠗
इन,⠊⠝,⠊⠝
इनका,⠊⠝⠅⠜,⠊⠝⠅⠜
इनमें,⠊⠝⠍⠑⠰,⠊⠝⠍⠑⠰
इमाम,⠊⠍⠜⠍,⠊⠍⠜⠍
इयरपॉड्स,⠊⠽⠗⠏⠭⠫⠈⠎,⠊⠽⠗⠏⠭⠈⠫⠎
इलाकों,⠊⠇⠜⠅⠕⠰,⠊⠇⠜⠅⠕⠰
इसलिए,⠊⠎⠇⠊⠑,⠊⠎⠇⠊⠑
इसलिए,⠊⠎⠇⠊⠑,⠊⠎⠇⠊⠑
ई-बुक्स,⠔⠤⠃⠥⠅⠈⠎,⠔⠤⠃⠥⠈⠅⠎
उगाई,⠥⠛⠜⠔,⠥⠛⠜⠔
उगाए,⠥⠛⠜⠑,⠥⠛⠜⠑
उत्पादकता,⠥⠞⠈⠏⠜⠙⠅⠞⠜,⠥⠈⠞⠏⠜⠙⠅⠞⠜
उत्पादन,⠥⠞⠈⠏⠜⠙⠝,⠥⠈⠞⠏⠜⠙⠝
उत्सुक,⠥⠞⠈⠎⠥⠅,⠥⠈⠞⠎⠥⠅
उद्योग,⠥⠙⠈⠽⠕⠛,⠥⠈⠙⠽⠕⠛
उद्योगों,⠥⠙⠈⠽⠕⠛⠕⠰,⠥⠈⠙⠽⠕⠛⠕⠰
उन्हीं,⠥⠝⠈⠓⠔⠰,⠥⠈⠝⠓⠔⠰
उपलब्धियों,⠥⠏⠇⠃⠈⠮⠊⠽⠕⠰,⠥⠏⠇⠈⠃⠮⠊⠽⠕⠰
